data,Energia Ativa,variacao_abs
2024-01-01,1026.9360709539708,
2024-01-02,1509.8280317740982,482.89196082012745
2024-01-03,1078.9052895482462,-430.92274222585206
2024-01-04,1132.9236480249128,54.01835847666666
2024-01-05,1033.990404551258,-98.93324347365478
2024-01-06,1067.8563264797554,33.8659219284973
2024-01-07,1070.46145526907,2.6051287893146764
2024-01-08,1199.3244977096583,128.8630424405883
2024-01-09,1147.4178547327758,-51.906642976882495
2024-01-10,901.1547355664036,-246.26311916637223
2024-01-11,1112.3067441825317,211.15200861612811
2024-01-12,1090.816926758456,-21.48981742407568
2024-01-13,1046.5151258971866,-44.301800861269385
2024-01-14,985.1390333224238,-61.37609257476288
2024-01-15,1171.8661814862114,186.72714816378766
2024-01-16,869.0437332055603,-302.8224482806511
2024-01-17,1239.4718668948128,370.4281336892525
2024-01-18,835.7789181428492,-403.6929487519636
2024-01-19,961.5593345470402,125.78041640419099
2024-01-20,765.1005752589316,-196.45875928810858
2024-01-21,1049.5381420267722,284.4375667678406
2024-01-22,1081.8135852849587,32.27544325818644
2024-01-23,947.500367911377,-134.31321737358167
2024-01-24,1208.7038935204168,261.20352560903984
2024-01-25,1330.0982148731282,121.39432135271136
2024-01-26,1003.4607388947168,-326.63747597841143
2024-01-27,1041.8521028941989,38.39136399948211
2024-01-28,1347.8635509827313,306.01144808853246
2024-01-29,1347.8635509827313,0.0
2024-01-30,1347.8635509827313,0.0
2024-01-31,1347.8635509827313,0.0
2024-02-01,821.5488567631766,-526.3146942195548
2024-02-02,1207.8624254192787,386.3135686561021
2024-02-03,863.1242316385969,-344.73819378068174
2024-02-04,906.3389184199302,43.214686781333285
2024-02-05,827.1923236410064,-79.14659477892383
2024-02-06,854.2850611838044,27.092737542797977
2024-02-07,856.3691642152561,2.0841030314517184
2024-02-08,959.4595981677265,103.09043395247045
2024-02-09,917.9342837862208,-41.52531438150572
2024-02-10,720.9237884531229,-197.01049533309788
2024-02-11,889.8453953460254,168.92160689290245
2024-02-12,872.6535414067648,-17.191853939260568
2024-02-13,837.2121007177493,-35.44144068901551
2024-02-14,788.111226657939,-49.10087405981028
2024-02-15,937.4929451889691,149.38171853103006
2024-02-16,695.2349865644483,-242.25795862452082
2024-02-17,991.5774935158503,296.342506951402
2024-02-18,668.6231345142794,-322.9543590015709
2024-02-19,769.2474676376322,100.62433312335281
2024-02-20,612.0804602071453,-157.16700743048693
2024-02-21,839.6305136214178,227.5500534142725
2024-02-22,865.4508682279669,25.82035460654913
2024-02-23,758.0002943291016,-107.45057389886529
2024-02-24,966.9631148163335,208.96282048723185
2024-02-25,1064.0785718985026,97.11545708216909
2024-02-26,802.7685911157735,-261.3099807827291
2024-02-27,833.4816823153592,30.713091199585733
2024-02-28,1078.290840786185,244.80915847082588
2024-02-29,1023.8703468771373,-54.420493909047764
2024-03-01,862.6262996013355,-161.2440472758018
2024-03-02,1268.2555466902427,405.62924708890716
2024-03-03,906.2804432205269,-361.9751034697158
2024-03-04,951.6558643409268,45.37542112039989
2024-03-05,868.5519398230568,-83.10392451786993
2024-03-06,896.9993142429946,28.447374419937773
2024-03-07,899.187622426019,2.1883081830243327
2024-03-08,1007.4325780761129,108.24495565009397
2024-03-09,963.8309979755319,-43.60158010058103
2024-03-10,756.969977875779,-206.86102009975286
2024-03-11,934.3376651133267,177.36768723754767
2024-03-12,916.286218477103,-18.05144663622366
2024-03-13,879.0727057536368,-37.21351272346624
2024-03-14,827.5167879908361,-51.55591776280073
